server,peer,combination,delay,chaincode,payload,send rate,max lat,min lat,avg lat,TPS,link1,link2,link3,link4,link5,link6,link7,server1,server2,server3,server4,server5,server6,server7,server8
5,6,11121,50.200.250.350,Create,4000,773.1,1.22,0.07,0.34,536.0,50,200,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.200.250.350,Create,7000,770.4,2.32,0.08,0.5,408.5,50,200,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.200.250.350,Create,10000,780.0,7.79,0.08,0.95,220.1,50,200,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.200.250.350,Create,13000,348.7,16.15,0.06,1.19,114.9,50,200,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.200.250.350,Create,16000,337.1,9.06,0.06,0.72,185.8,50,200,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.200.250.350,Create,19000,332.0,9.28,0.06,0.99,185.5,50,200,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,100.200.250.350,Create,100,780.3,1.16,0.05,0.32,579.5,100,200,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,100.200.250.350,Create,1000,765.7,1.18,0.05,0.33,586.2,100,200,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,100.200.250.350,Create,4000,771.3,2.07,0.08,0.37,443.7,100,200,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,100.200.250.350,Create,7000,771.6,2.57,0.08,0.58,399.1,100,200,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,100.200.250.350,Create,10000,782.2,5.9,0.08,1.06,290.2,100,200,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,100.200.250.350,Create,13000,330.5,12.48,0.06,0.81,146.6,100,200,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,100.200.250.350,Create,16000,282.2,10.6,0.06,1.37,170.6,100,200,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,100.200.250.350,Create,19000,222.9,10.2,0.04,1.21,161.1,100,200,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11211,50.100.200.350,Create,100,783.4,0.93,0.05,0.26,612.6,50,100,200,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.200.350,Create,1000,771.0,0.84,0.05,0.27,668.0,50,100,200,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.200.350,Create,4000,764.8,0.98,0.07,0.31,621.1,50,100,200,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.200.350,Create,7000,767.8,2.27,0.08,0.43,453.5,50,100,200,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.200.350,Create,10000,768.0,6.0,0.08,0.92,266.7,50,100,200,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.200.350,Create,13000,395.3,7.76,0.06,0.56,188.3,50,100,200,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.200.350,Create,16000,398.2,9.31,0.06,0.81,187.7,50,100,200,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.200.350,Create,19000,394.6,4.17,0.06,0.49,289.2,50,100,200,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.200.250,Create,100,787.7,0.82,0.05,0.24,624.0,50,100,200,250,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.200.250,Create,1000,771.6,0.56,0.06,0.24,685.4,50,100,200,250,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.200.250,Create,4000,772.8,0.76,0.07,0.25,635.7,50,100,200,250,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.200.250,Create,7000,786.2,1.46,0.07,0.34,535.9,50,100,200,250,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.200.250,Create,10000,779.7,3.18,0.09,0.83,425.3,50,100,200,250,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.200.250,Create,13000,395.0,7.65,0.06,0.61,187.6,50,100,200,250,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.200.250,Create,16000,394.7,11.33,0.06,1.19,166.8,50,100,200,250,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.200.250,Create,19000,394.8,7.28,0.06,0.99,208.7,50,100,200,250,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.250.350,Create,100,785.5,0.92,0.05,0.29,607.9,50,100,250,350,0,0,0,1,1,2,1,1,0,0,0
5,6,11211,50.100.250.350,Create,1000,766.6,0.75,0.06,0.28,664.0,50,100,250,350,0,0,0,1,1,2,1,1,0,0,0
